PlayerID,Score,GameName,Date,Notes
Butt Head,1.0,Clue,11/22/2025,
Rancor,0.0,Clue,11/22/2025,
Shrimp,0.0,Clue,11/22/2025,
Unavailable Phone Addict,0.0,Clue,11/22/2025,
Butt Head,1.0,Clue,11/22/2025,
Shrimp,0.0,Clue,11/22/2025,
Unavailable Phone Addict,0.0,Clue,11/22/2025,
Unavailable Phone Addict,1.0,Clue,11/22/2025,
Butt Head,0.0,Clue,11/22/2025,
Shrimp,0.0,Clue,11/22/2025,
Unavailable Phone Addict,1.0,Clue,11/22/2025,
Butt Head,0.0,Clue,11/22/2025,
Shrimp,0.0,Clue,11/22/2025,
Unavailable Phone Addict,1.0,Clue,11/29/2025,
"Sensei ""King of Rats""",0.0,Clue,11/29/2025,
Shrimp,0.0,Clue,11/29/2025,
Phillip,0.0,Clue,11/29/2025,
Phillip,1.0,Clue,11/29/2025,
"Sensei ""King of Rats""",0.0,Clue,11/29/2025,
Shrimp,0.0,Clue,11/29/2025,
Unavailable Phone Addict,0.0,Clue,11/29/2025,
Rancor,0.0,Clue,11/29/2025,
